Id,Problem,Solution
548, C++ Program for Coin Change),"#include <bits/stdc++.h>
using namespace std;
 
// Returns the count of ways we can
// sum coins[0...n-1] coins to get sum ""sum""
int count(int coins[]_._ int n_._ int sum)
{
 
    // If sum is 0 then there is 1 solution
    // (do not include any coin)
    if (sum == 0)
        return 1;
 
    // If sum is less than 0 then no
    // solution exists
    if (sum < 0)
        return 0;
 
    // If there are no coins and sum
    // is greater than 0_._ then no
    // solution exist
    if (n <= 0)
        return 0;
 
    // count is sum of solutions (i)
    // including coins[n-1] (ii) excluding coins[n-1]
    return count(coins_._ n - 1_._ sum)
           + count(coins_._ n_._ sum - coins[n - 1]);
}
 
// Driver code
int main()
{
    int i_._ j;
    int coins[] = { 1_._ 2_._ 3 };
    int n = sizeof(coins) / sizeof(coins[0]);
    int sum = 4;
 
    cout << "" "" << count(coins_._ n_._ sum);
 
    return 0;
}"
549, C++ Program for Matrix Chain Multiplication,"#include <bits/stdc++.h>
using namespace std;
 
// Matrix Ai has dimension p[i-1] x p[i]
// for i = 1 . . . n
int MatrixChainOrder(int p[]_._ int i_._ int j)
{
    if (i == j)
        return 0;
    int k;
    int mini = INT_MAX;
    int count;
 
    // Place parenthesis at different places
    // between first and last matrix_._
    // recursively calculate count of multiplications
    // for each parenthesis placement
    // and return the minimum count
    for (k = i; k < j; k++)
    {
        count = MatrixChainOrder(p_._ i_._ k)
                + MatrixChainOrder(p_._ k + 1_._ j)
                + p[i - 1] * p[k] * p[j];
 
        mini = min(count_._ mini);
    }
 
    // Return minimum count
    return mini;
}
 
// Driver Code
int main()
{
    int arr[] = { 1_._ 2_._ 3_._ 4_._ 3 };
    int N = sizeof(arr) / sizeof(arr[0]);
 
    // Function call
    cout << ""Minimum number of multiplications is ""
         << MatrixChainOrder(arr_._ 1_._ N - 1);
    return 0;
}"
550, C++ Program for Binomial Coefficient,"#include <bits/stdc++.h>
using namespace std;
 
// Returns value of Binomial Coefficient C(n_._ k)
int binomialCoeff(int n_._ int k)
{
    // Base Cases
    if (k > n)
        return 0;
    if (k == 0 || k == n)
        return 1;
 
    // Recur
    return binomialCoeff(n - 1_._ k - 1)
           + binomialCoeff(n - 1_._ k);
}
 
/* Driver code*/
int main()
{
    int n = 5_._ k = 2;
    cout << ""Value of C("" << n << ""_._ "" << k << "") is ""
         << binomialCoeff(n_._ k);
    return 0;
}"
551, C++ Program for 0-1 Knapsack Problem,"#include <bits/stdc++.h>
using namespace std;
 
// A utility function that returns
// maximum of two integers
int max(int a_._ int b) { return (a > b) ? a : b; }
 
// Returns the maximum value that
// can be put in a knapsack of capacity W
int knapSack(int W_._ int wt[]_._ int val[]_._ int n)
{
 
    // Base Case
    if (n == 0 || W == 0)
        return 0;
 
    // If weight of the nth item is more
    // than Knapsack capacity W_._ then
    // this item cannot be included
    // in the optimal solution
    if (wt[n - 1] > W)
        return knapSack(W_._ wt_._ val_._ n - 1);
 
    // Return the maximum of two cases:
    // (1) nth item included
    // (2) not included
    else
        return max(
            val[n - 1]
                + knapSack(W - wt[n - 1]_._ wt_._ val_._ n - 1)_._
            knapSack(W_._ wt_._ val_._ n - 1));
}
 
// Driver code
int main()
{
    int val[] = { 60_._ 100_._ 120 };
    int wt[] = { 10_._ 20_._ 30 };
    int W = 50;
    int n = sizeof(val) / sizeof(val[0]);
    cout << knapSack(W_._ wt_._ val_._ n);
    return 0;
}"
552, C++ Program for Egg Dropping Puzzle," 
#include <bits/stdc++.h>
using namespace std;
  
// A utility function to get
// maximum of two integers
int max(int a_._ int b) { return (a > b) ? a : b; }
  
// Function to get minimum
// number of trials needed in worst
// case with n eggs and k floors
int eggDrop(int n_._ int k)
{
    // If there are no floors_._
    // then no trials needed.
    // OR if there is one floor_._
    // one trial needed.
    if (k == 1 || k == 0)
        return k;
  
    // We need k trials for one
    // egg and k floors
    if (n == 1)
        return k;
  
    int min = INT_MAX_._ x_._ res;
  
    // Consider all droppings from
    // 1st floor to kth floor and
    // return the minimum of these
    // values plus 1.
    for (x = 1; x <= k; x++) {
        res = max(eggDrop(n - 1_._ x - 1)_._ eggDrop(n_._ k - x));
        if (res < min)
            min = res;
    }
  
    return min + 1;
}
  
// Driver code
int main()
{
    int n = 2_._ k = 10;
    cout << ""Minimum number of trials ""
            ""in worst case with ""
         << n << "" eggs and "" << k << "" floors is ""
         << eggDrop(n_._ k) << endl;
    return 0;
}"
553, C++ Program for Longest Palindromic Subsequence,"#include<bits/stdc++.h>
using namespace std;
 
// A utility function to get max of two integers
int max (int x_._ int y) { return (x > y)? x : y; }
 
// Returns the length of the longest palindromic subsequence in seq
int lps(char *seq_._ int i_._ int j)
{
// Base Case 1: If there is only 1 character
if (i == j)
    return 1;
 
// Base Case 2: If there are only 2
// characters and both are same
if (seq[i] == seq[j] && i + 1 == j)
    return 2;
 
// If the first and last characters match
if (seq[i] == seq[j])
    return lps (seq_._ i+1_._ j-1) + 2;
 
// If the first and last characters do not match
return max( lps(seq_._ i_._ j-1)_._ lps(seq_._ i+1_._ j) );
}
 
/* Driver program to test above functions */
int main()
{
    char seq[] = ""GEEKSFORGEEKS"";
    int n = strlen(seq);
    cout << ""The length of the LPS is ""
         << lps(seq_._ 0_._ n-1);
    return 0;
}"
554, C++ Program for Cutting a Rod,"#include <bits/stdc++.h>
#include <iostream>
#include <math.h>
using namespace std;
 
// A utility function to get the maximum of two integers
int max(int a_._ int b) { return (a > b) ? a : b; }
 
/* Returns the best obtainable price for a rod of length n
   and price[] as prices of different pieces */
int cutRod(int price[]_._ int index_._ int n)
{
    // base case
    if (index == 0) {
        return n * price[0];
    }
    //At any index we have 2 options either
      //cut the rod of this length or not cut
      //it
    int notCut = cutRod(price_._index - 1_._n);
    int cut = INT_MIN;
    int rod_length = index + 1;
 
    if (rod_length <= n)
        cut = price[index]
               + cutRod(price_._index_._n - rod_length);
   
    return max(notCut_._ cut);
}
 
/* Driver program to test above functions */
int main()
{
    int arr[] = { 1_._ 5_._ 8_._ 9_._ 10_._ 17_._ 17_._ 20 };
    int size = sizeof(arr) / sizeof(arr[0]);
    cout << ""Maximum Obtainable Value is ""
         << cutRod(arr_._ size - 1_._ size);
    getchar();
    return 0;
}"
555, C++ Program for Maximum Sum Increasing Subsequence,"#include <bits/stdc++.h>
using namespace std;
 
/* maxSumIS() returns the maximum
sum of increasing subsequence
in arr[] of size n */
int maxSumIS(int arr[]_._ int n)
{
    int i_._ j_._ max = 0;
    int msis[n];
 
    /* Initialize msis values
    for all indexes */
    for ( i = 0; i < n; i++ )
        msis[i] = arr[i];
 
    /* Compute maximum sum values
    in bottom up manner */
    for ( i = 1; i < n; i++ )
        for ( j = 0; j < i; j++ )
            if (arr[i] > arr[j] &&
                msis[i] < msis[j] + arr[i])
                msis[i] = msis[j] + arr[i];
 
    /* Pick maximum of
    all msis values */
    for ( i = 0; i < n; i++ )
        if ( max < msis[i] )
            max = msis[i];
 
    return max;
}
 
// Driver Code
int main()
{
    int arr[] = {1_._ 101_._ 2_._ 3_._ 100_._ 4_._ 5};
    int n = sizeof(arr)/sizeof(arr[0]);
    cout << ""Sum of maximum sum increasing ""
            ""subsequence is "" << maxSumIS( arr_._ n ) << endl;
    return 0;
}"
556, C++ Program for Longest Bitonic Subsequence,"#include<stdio.h>
#include<stdlib.h>
  
/* lbs() returns the length of the Longest Bitonic Subsequence in
    arr[] of size n. The function mainly creates two temporary arrays
    lis[] and lds[] and returns the maximum lis[i] + lds[i] - 1.
  
    lis[i] ==> Longest Increasing subsequence ending with arr[i]
    lds[i] ==> Longest decreasing subsequence starting with arr[i]
*/
int lbs( int arr[]_._ int n )
{
   int i_._ j;
  
   /* Allocate memory for LIS[] and initialize LIS values as 1 for
      all indexes */
   int *lis = new int[n];
   for (i = 0; i < n; i++)
      lis[i] = 1;
  
   /* Compute LIS values from left to right */
   for (i = 1; i < n; i++)
      for (j = 0; j < i; j++)
         if (arr[i] > arr[j] && lis[i] < lis[j] + 1)
            lis[i] = lis[j] + 1;
  
   /* Allocate memory for lds and initialize LDS values for
      all indexes */
   int *lds = new int [n];
   for (i = 0; i < n; i++)
      lds[i] = 1;
  
   /* Compute LDS values from right to left */
   for (i = n-2; i >= 0; i--)
      for (j = n-1; j > i; j--)
         if (arr[i] > arr[j] && lds[i] < lds[j] + 1)
            lds[i] = lds[j] + 1;
  
  
   /* Return the maximum value of lis[i] + lds[i] - 1*/
   int max = lis[0] + lds[0] - 1;
   for (i = 1; i < n; i++)
     if (lis[i] + lds[i] - 1 > max)
         max = lis[i] + lds[i] - 1;
   return max;
}
  
/* Driver program to test above function */
int main()
{
  int arr[] = {0_._ 8_._ 4_._ 12_._ 2_._ 10_._ 6_._ 14_._ 1_._ 9_._ 5_._
              13_._ 3_._ 11_._ 7_._ 15};
  int n = sizeof(arr)/sizeof(arr[0]);
  printf(""Length of LBS is %d\n""_._ lbs( arr_._ n ) );
  return 0;
}"
557, C++ Program for Floyd Warshall Algorithm,"#include <bits/stdc++.h>
using namespace std;
 
// Number of vertices in the graph
#define V 4
 
/* Define Infinite as a large enough
value.This value will be used for
vertices not connected to each other */
#define INF 99999
 
// A function to print the solution matrix
void printSolution(int dist[][V]);
 
// Solves the all-pairs shortest path
// problem using Floyd Warshall algorithm
void floydWarshall(int dist[][V])
{
     
    int i_._ j_._ k;
 
    /* Add all vertices one by one to
    the set of intermediate vertices.
    ---> Before start of an iteration_._
    we have shortest distances between all
    pairs of vertices such that the
    shortest distances consider only the
    vertices in set {0_._ 1_._ 2_._ .. k-1} as
    intermediate vertices.
    ----> After the end of an iteration_._
    vertex no. k is added to the set of
    intermediate vertices and the set becomes {0_._ 1_._ 2_._ ..
    k} */
    for (k = 0; k < V; k++) {
        // Pick all vertices as source one by one
        for (i = 0; i < V; i++) {
            // Pick all vertices as destination for the
            // above picked source
            for (j = 0; j < V; j++) {
                // If vertex k is on the shortest path from
                // i to j_._ then update the value of
                // dist[i][j]
                if (dist[i][j] > (dist[i][k] + dist[k][j])
                    && (dist[k][j] != INF
                        && dist[i][k] != INF))
                    dist[i][j] = dist[i][k] + dist[k][j];
            }
        }
    }
 
    // Print the shortest distance matrix
    printSolution(dist);
}
 
/* A utility function to print solution */
void printSolution(int dist[][V])
{
    cout << ""The following matrix shows the shortest ""
            ""distances""
            "" between every pair of vertices \n"";
    for (int i = 0; i < V; i++) {
        for (int j = 0; j < V; j++) {
            if (dist[i][j] == INF)
                cout << ""INF""
                     << "" "";
            else
                cout << dist[i][j] << ""   "";
        }
        cout << endl;
    }
}
 
// Driver's code
int main()
{
    /* Let us create the following weighted graph
            10
    (0)------->(3)
        |     /|\
    5 |     |
        |     | 1
    \|/     |
    (1)------->(2)
            3     */
    int graph[V][V] = { { 0_._ 5_._ INF_._ 10 }_._
                        { INF_._ 0_._ 3_._ INF }_._
                        { INF_._ INF_._ 0_._ 1 }_._
                        { INF_._ INF_._ INF_._ 0 } };
 
    // Function call
    floydWarshall(graph);
    return 0;
}"
558, C++ Program for Palindrome Partitioning,"#include <bits/stdc++.h>
using namespace std;
 
bool isPalindrome(string String_._ int i_._ int j)
{
    while(i < j)
    {
      if(String[i] != String[j])
        return false; 
      i++;
      j--;
    }
    return true;
}
int minPalPartion(string String_._ int i_._ int j)
{
    if( i >= j || isPalindrome(String_._ i_._ j) )
      return 0;
    int ans = INT_MAX_._ count;
    for(int k = i; k < j; k++)
    {
      count = minPalPartion(String_._ i_._ k) +
        minPalPartion(String_._ k + 1_._ j) + 1;
  
      ans = min(ans_._ count);
    }
    return ans;
}
// Driver code
int main() {
    string str = ""ababbbabbababa"";
    cout << ""Min cuts needed for "" <<
      ""Palindrome Partitioning is "" << 
      minPalPartion(str_._ 0_._ str.length() - 1) << endl;
    return 0;
}"
559, C++ Program for Partition problem,"#include <bits/stdc++.h>
using namespace std;
 
// A utility function that returns true if there is
// a subset of arr[] with sum equal to given sum
bool isSubsetSum(int arr[]_._ int n_._ int sum)
{
    // Base Cases
    if (sum == 0)
        return true;
    if (n == 0 && sum != 0)
        return false;
 
    // If last element is greater than sum_._ then
    // ignore it
    if (arr[n - 1] > sum)
        return isSubsetSum(arr_._ n - 1_._ sum);
 
    /* else_._ check if sum can be obtained by any of
        the following
        (a) including the last element
        (b) excluding the last element
    */
    return isSubsetSum(arr_._ n - 1_._ sum)
           || isSubsetSum(arr_._ n - 1_._ sum - arr[n - 1]);
}
 
// Returns true if arr[] can be partitioned in two
// subsets of equal sum_._ otherwise false
bool findPartiion(int arr[]_._ int n)
{
    // Calculate sum of the elements in array
    int sum = 0;
    for (int i = 0; i < n; i++)
        sum += arr[i];
 
    // If sum is odd_._ there cannot be two subsets
    // with equal sum
    if (sum % 2 != 0)
        return false;
 
    // Find if there is subset with sum equal to
    // half of total sum
    return isSubsetSum(arr_._ n_._ sum / 2);
}
 
// Driver code
int main()
{
    int arr[] = { 3_._ 1_._ 5_._ 9_._ 12 };
    int n = sizeof(arr) / sizeof(arr[0]);
 
    // Function call
    if (findPartiion(arr_._ n) == true)
        cout << ""Can be divided into two subsets ""
                ""of equal sum"";
    else
        cout << ""Can not be divided into two subsets""
                "" of equal sum"";
    return 0;
}"
560, C++ Program for Word Wrap Problem,"#include <bits/stdc++.h>
using namespace std;
 
int solveWordWrapUsingMemo(int words[]_._ int n_._ int length_._
                           int wordIndex_._ int remLength_._
                           vector<vector<int> > memo);
 
int square(int n) { return n * n; }
 
int solveWordWrapUtil(int words[]_._ int n_._ int length_._
                      int wordIndex_._ int remLength_._
                      vector<vector<int> > memo)
{
 
    // base case for last word
    if (wordIndex == n - 1) {
        memo[wordIndex][remLength]
            = words[wordIndex] < remLength
                  ? 0
                  : square(remLength);
        return memo[wordIndex][remLength];
    }
 
    int currWord = words[wordIndex];
    // if word can fit in the remaining line
    if (currWord < remLength) {
        return min(solveWordWrapUsingMemo(
                       words_._ n_._ length_._ wordIndex + 1_._
                       remLength == length
                           ? remLength - currWord
                           : remLength - currWord - 1_._
                       memo)_._
 
                   square(remLength)
                       + solveWordWrapUsingMemo(
                           words_._ n_._ length_._ wordIndex + 1_._
                           length - currWord_._ memo));
    }
    else {
        // if word is kept on next line
        return square(remLength)
               + solveWordWrapUsingMemo(
                   words_._ n_._ length_._ wordIndex + 1_._
                   length - currWord_._ memo);
    }
}
 
int solveWordWrapUsingMemo(int words[]_._ int n_._ int length_._
                           int wordIndex_._ int remLength_._
                           vector<vector<int> > memo)
{
    if (memo[wordIndex][remLength] != -1) {
        return memo[wordIndex][remLength];
    }
 
    memo[wordIndex][remLength] = solveWordWrapUtil(
        words_._ n_._ length_._ wordIndex_._ remLength_._ memo);
    return memo[wordIndex][remLength];
}
 
int solveWordWrap(int words[]_._ int n_._ int k)
{
 
    vector<vector<int> > memo(n_._ vector<int>(k + 1_._ -1));
 
    return solveWordWrapUsingMemo(words_._ n_._ k_._ 0_._ k_._ memo);
}
int main()
{
    int words[] = { 3_._ 2_._ 2_._ 5 };
    int n = sizeof(words) / sizeof(words[0]);
    int k = 6;
 
    cout << solveWordWrap(words_._ n_._ k);
    return 0;
}"
561, C++ Program for Maximum Length Chain of Pairs,"#include <bits/stdc++.h>
using namespace std;
 
// Structure for a Pair
class Pair
{
    public:
    int a;
    int b;
};
 
// This function assumes that arr[]
// is sorted in increasing order
// according the first
// (or smaller) values in Pairs.
int maxChainLength( Pair arr[]_._ int n)
{
    int i_._ j_._ max = 0;
    int *mcl = new int[sizeof( int ) * n ];
     
    /* Initialize MCL (max chain length)
    values for all indexes */
    for ( i = 0; i < n; i++ )
        mcl[i] = 1;
     
    /* Compute optimized chain
    length values in bottom up manner */
    for ( i = 1; i < n; i++ )
        for ( j = 0; j < i; j++ )
            if ( arr[i].a > arr[j].b &&
                    mcl[i] < mcl[j] + 1)
                mcl[i] = mcl[j] + 1;
     
    // mcl[i] now stores the maximum
    // chain length ending with Pair i
     
    /* Pick maximum of all MCL values */
    for ( i = 0; i < n; i++ )
        if ( max < mcl[i] )
            max = mcl[i];
     
    /* Free memory to avoid memory leak */
     
    return max;
}
     
 
/* Driver code */
int main()
{
    Pair arr[] = { {5_._ 24}_._ {15_._ 25}_._
                        {27_._ 40}_._ {50_._ 60} };
    int n = sizeof(arr)/sizeof(arr[0]);
    cout << ""Length of maximum size chain is ""
                  << maxChainLength( arr_._ n );
    return 0;
}"
562, C++ Program for Box Stacking Problem,"#include<stdio.h>
#include<stdlib.h>
 
/* Representation of a box */
struct Box
{
  // h --> height_._ w --> width_._ d --> depth
  int h_._ w_._ d;  // for simplicity of solution_._ always keep w <= d
};
 
// A utility function to get minimum of two integers
int min (int x_._ int y)
{ return (x < y)? x : y; }
 
// A utility function to get maximum of two integers
int max (int x_._ int y)
{ return (x > y)? x : y; }
 
/* Following function is needed for library function qsort(). We
   use qsort() to sort boxes in decreasing order of base area.
   Refer following link for help of qsort() and compare()
   http://www.cplusplus.com/reference/clibrary/cstdlib/qsort/ */
int compare (const void *a_._ const void * b)
{
    return ( (*(Box *)b).d * (*(Box *)b).w ) -
           ( (*(Box *)a).d * (*(Box *)a).w );
}
 
/* Returns the height of the tallest stack that can be
   formed with give type of boxes */
int maxStackHeight( Box arr[]_._ int n )
{
   /* Create an array of all rotations of given boxes
      For example_._ for a box {1_._ 2_._ 3}_._ we consider three
      instances{{1_._ 2_._ 3}_._ {2_._ 1_._ 3}_._ {3_._ 1_._ 2}} */
   Box rot[3*n];
   int index = 0;
   for (int i = 0; i < n; i++)
   {
      // Copy the original box
      rot[index].h = arr[i].h;
      rot[index].d = max(arr[i].d_._ arr[i].w);
      rot[index].w = min(arr[i].d_._ arr[i].w);
      index++;
 
      // First rotation of box
      rot[index].h = arr[i].w;
      rot[index].d = max(arr[i].h_._ arr[i].d);
      rot[index].w = min(arr[i].h_._ arr[i].d);
      index++;
 
      // Second rotation of box
      rot[index].h = arr[i].d;
      rot[index].d = max(arr[i].h_._ arr[i].w);
      rot[index].w = min(arr[i].h_._ arr[i].w);
      index++;
   }
 
   // Now the number of boxes is 3n
   n = 3*n;
 
   /* Sort the array 'rot[]' in non-increasing order
      of base area */
   qsort (rot_._ n_._ sizeof(rot[0])_._ compare);
 
   // Uncomment following two lines to print all rotations
   // for (int i = 0; i < n; i++ )
   //    printf(""%d x %d x %d\n""_._ rot[i].h_._ rot[i].w_._ rot[i].d);
 
   /* Initialize msh values for all indexes
      msh[i] --> Maximum possible Stack Height with box i on top */
   int msh[n];
   for (int i = 0; i < n; i++ )
      msh[i] = rot[i].h;
 
   /* Compute optimized msh values in bottom up manner */
   for (int i = 1; i < n; i++ )
      for (int j = 0; j < i; j++ )
         if ( rot[i].w < rot[j].w &&
              rot[i].d < rot[j].d &&
              msh[i] < msh[j] + rot[i].h
            )
         {
              msh[i] = msh[j] + rot[i].h;
         }
 
 
   /* Pick maximum of all msh values */
   int max = -1;
   for ( int i = 0; i < n; i++ )
      if ( max < msh[i] )
         max = msh[i];
 
   return max;
}
 
/* Driver program to test above function */
int main()
{
  Box arr[] = { {4_._ 6_._ 7}_._ {1_._ 2_._ 3}_._ {4_._ 5_._ 6}_._ {10_._ 12_._ 32} };
  int n = sizeof(arr)/sizeof(arr[0]);
 
  printf(""The maximum possible height of stack is %d\n""_._
         maxStackHeight (arr_._ n) );
 
  return 0;
}"
563, C++ Program for Longest Palindromic Substring,"#include <bits/stdc++.h>
using namespace std;
 
// Function to print a substring str[low..high]
void printSubStr(string str_._ int low_._ int high)
{
    for (int i = low; i <= high; ++i)
        cout << str[i];
}
 
// This function prints the
// longest palindrome substring
// It also returns the length
// of the longest palindrome
int longestPalSubstr(string str)
{
    // get length of input string
    int n = str.size();
 
    // All substrings of length 1
    // are palindromes
    int maxLength = 1_._ start = 0;
 
    // Nested loop to mark start and end index
    for (int i = 0; i < str.length(); i++) {
        for (int j = i; j < str.length(); j++) {
            int flag = 1;
 
            // Check palindrome
            for (int k = 0; k < (j - i + 1) / 2; k++)
                if (str[i + k] != str[j - k])
                    flag = 0;
 
            // Palindrome
            if (flag && (j - i + 1) > maxLength) {
                start = i;
                maxLength = j - i + 1;
            }
        }
    }
 
    cout << ""Longest palindrome substring is: "";
    printSubStr(str_._ start_._ start + maxLength - 1);
 
    // return length of LPS
    return maxLength;
}
 
// Driver Code
int main()
{
    string str = ""forgeeksskeegfor"";
    cout << ""\nLength is: ""
         << longestPalSubstr(str);
    return 0;
}"
564, C++ Program for Bellman–Ford Algorithm,"#include <bits/stdc++.h>
using namespace std;
 
// a structure to represent a weighted edge in graph
struct Edge {
    int src_._ dest_._ weight;
};
 
// a structure to represent a connected_._ directed and
// weighted graph
struct Graph {
    // V-> Number of vertices_._ E-> Number of edges
    int V_._ E;
 
    // graph is represented as an array of edges.
    struct Edge* edge;
};
 
// Creates a graph with V vertices and E edges
struct Graph* createGraph(int V_._ int E)
{
    struct Graph* graph = new Graph;
    graph->V = V;
    graph->E = E;
    graph->edge = new Edge[E];
    return graph;
}
 
// A utility function used to print the solution
void printArr(int dist[]_._ int n)
{
    printf(""Vertex   Distance from Source\n"");
    for (int i = 0; i < n; ++i)
        printf(""%d \t\t %d\n""_._ i_._ dist[i]);
}
 
// The main function that finds shortest distances from src
// to all other vertices using Bellman-Ford algorithm.  The
// function also detects negative weight cycle
void BellmanFord(struct Graph* graph_._ int src)
{
    int V = graph->V;
    int E = graph->E;
    int dist[V];
 
    // Step 1: Initialize distances from src to all other
    // vertices as INFINITE
    for (int i = 0; i < V; i++)
        dist[i] = INT_MAX;
    dist[src] = 0;
 
    // Step 2: Relax all edges |V| - 1 times. A simple
    // shortest path from src to any other vertex can have
    // at-most |V| - 1 edges
    for (int i = 1; i <= V - 1; i++) {
        for (int j = 0; j < E; j++) {
            int u = graph->edge[j].src;
            int v = graph->edge[j].dest;
            int weight = graph->edge[j].weight;
            if (dist[u] != INT_MAX
                && dist[u] + weight < dist[v])
                dist[v] = dist[u] + weight;
        }
    }
 
    // Step 3: check for negative-weight cycles.  The above
    // step guarantees shortest distances if graph doesn't
    // contain negative weight cycle.  If we get a shorter
    // path_._ then there is a cycle.
    for (int i = 0; i < E; i++) {
        int u = graph->edge[i].src;
        int v = graph->edge[i].dest;
        int weight = graph->edge[i].weight;
        if (dist[u] != INT_MAX
            && dist[u] + weight < dist[v]) {
            printf(""Graph contains negative weight cycle"");
            return; // If negative cycle is detected_._ simply
                    // return
        }
    }
 
    printArr(dist_._ V);
 
    return;
}
 
// Driver's code
int main()
{
    /* Let us create the graph given in above example */
    int V = 5; // Number of vertices in graph
    int E = 8; // Number of edges in graph
    struct Graph* graph = createGraph(V_._ E);
 
    // add edge 0-1 (or A-B in above figure)
    graph->edge[0].src = 0;
    graph->edge[0].dest = 1;
    graph->edge[0].weight = -1;
 
    // add edge 0-2 (or A-C in above figure)
    graph->edge[1].src = 0;
    graph->edge[1].dest = 2;
    graph->edge[1].weight = 4;
 
    // add edge 1-2 (or B-C in above figure)
    graph->edge[2].src = 1;
    graph->edge[2].dest = 2;
    graph->edge[2].weight = 3;
 
    // add edge 1-3 (or B-D in above figure)
    graph->edge[3].src = 1;
    graph->edge[3].dest = 3;
    graph->edge[3].weight = 2;
 
    // add edge 1-4 (or B-E in above figure)
    graph->edge[4].src = 1;
    graph->edge[4].dest = 4;
    graph->edge[4].weight = 2;
 
    // add edge 3-2 (or D-C in above figure)
    graph->edge[5].src = 3;
    graph->edge[5].dest = 2;
    graph->edge[5].weight = 5;
 
    // add edge 3-1 (or D-B in above figure)
    graph->edge[6].src = 3;
    graph->edge[6].dest = 1;
    graph->edge[6].weight = 1;
 
    // add edge 4-3 (or E-D in above figure)
    graph->edge[7].src = 4;
    graph->edge[7].dest = 3;
    graph->edge[7].weight = -3;
     
      // Function call
    BellmanFord(graph_._ 0);
 
    return 0;
}"
565, C++ Program for Optimal Binary Search Tree,"#include <bits/stdc++.h>
using namespace std;
 
// A utility function to get sum of
// array elements freq[i] to freq[j]
int sum(int freq[]_._ int i_._ int j);
 
// A recursive function to calculate
// cost of optimal binary search tree
int optCost(int freq[]_._ int i_._ int j)
{
    // Base cases
    if (j < i)  // no elements in this subarray
        return 0;
    if (j == i) // one element in this subarray
        return freq[i];
     
    // Get sum of freq[i]_._ freq[i+1]_._ ... freq[j]
    int fsum = sum(freq_._ i_._ j);
     
    // Initialize minimum value
    int min = INT_MAX;
     
    // One by one consider all elements
    // as root and recursively find cost
    // of the BST_._ compare the cost with
    // min and update min if needed
    for (int r = i; r <= j; ++r)
    {
        int cost = optCost(freq_._ i_._ r - 1) +
                   optCost(freq_._ r + 1_._ j);
        if (cost < min)
            min = cost;
    }
     
    // Return minimum value
    return min + fsum;
}
 
// The main function that calculates
// minimum cost of a Binary Search Tree.
// It mainly uses optCost() to find
// the optimal cost.
int optimalSearchTree(int keys[]_._
                      int freq[]_._ int n)
{
    // Here array keys[] is assumed to be
    // sorted in increasing order. If keys[]
    // is not sorted_._ then add code to sort
    // keys_._ and rearrange freq[] accordingly.
    return optCost(freq_._ 0_._ n - 1);
}
 
// A utility function to get sum of
// array elements freq[i] to freq[j]
int sum(int freq[]_._ int i_._ int j)
{
    int s = 0;
    for (int k = i; k <= j; k++)
    s += freq[k];
    return s;
}
 
// Driver Code
int main()
{
    int keys[] = {10_._ 12_._ 20};
    int freq[] = {34_._ 8_._ 50};
    int n = sizeof(keys) / sizeof(keys[0]);
    cout << ""Cost of Optimal BST is ""
         << optimalSearchTree(keys_._ freq_._ n);
    return 0;
}"
566, C++ Program for Subset Sum Problem,"#include <iostream>
using namespace std;
 
// Returns true if there is a subset
// of set[] with sum equal to given sum
bool isSubsetSum(int set[]_._ int n_._ int sum)
{
   
    // Base Cases
    if (sum == 0)
        return true;
    if (n == 0)
        return false;
 
    // If last element is greater than sum_._
    // then ignore it
    if (set[n - 1] > sum)
        return isSubsetSum(set_._ n - 1_._ sum);
 
    /* else_._ check if sum can be obtained by any
of the following:
      (a) including the last element
      (b) excluding the last element   */
    return isSubsetSum(set_._ n - 1_._ sum)
           || isSubsetSum(set_._ n - 1_._ sum - set[n - 1]);
}
 
// Driver code
int main()
{
    int set[] = { 3_._ 34_._ 4_._ 12_._ 5_._ 2 };
    int sum = 9;
    int n = sizeof(set) / sizeof(set[0]);
    if (isSubsetSum(set_._ n_._ sum) == true)
         cout <<""Found a subset with given sum"";
    else
        cout <<""No subset with given sum"";
    return 0;
}"
567, C++ Program for Largest Independent Set Problem,"#include <bits/stdc++.h>
using namespace std;
 
// A utility function to find
// max of two integers
int max(int x_._ int y)
{
    return (x > y) ? x : y;
}
 
/* A binary tree node has data_._
pointer to left child and a
pointer to right child */
class node
{
    public:
    int data;
    node *left_._ *right;
};
 
// The function returns size of the
// largest independent set in a given
// binary tree
int LISS(node *root)
{
    if (root == NULL)
    return 0;
 
    // Calculate size excluding the current node
    int size_excl = LISS(root->left) +
                    LISS(root->right);
 
    // Calculate size including the current node
    int size_incl = 1;
    if (root->left)
        size_incl += LISS(root->left->left) +
                     LISS(root->left->right);
    if (root->right)
        size_incl += LISS(root->right->left) +
                     LISS(root->right->right);
 
    // Return the maximum of two sizes
    return max(size_incl_._ size_excl);
}
 
// A utility function to create a node
node* newNode( int data )
{
    node* temp = new node();
    temp->data = data;
    temp->left = temp->right = NULL;
    return temp;
}
 
// Driver Code
int main()
{
    // Let us construct the tree
    // given in the above diagram
    node *root = newNode(20);
    root->left = newNode(8);
    root->left->left = newNode(4);
    root->left->right = newNode(12);
    root->left->right->left = newNode(10);
    root->left->right->right = newNode(14);
    root->right = newNode(22);
    root->right->right = newNode(25);
 
    cout << ""Size of the Largest""
         << "" Independent Set is ""
         << LISS(root);
 
    return 0;
}
 "
